lago,fecha,bloque_fila,bloque_columna,x,y,b03,b04,b05,b08,ndci,ndvi,ndwi,proporcion_agua,proporcion_tierra,proporcion_otro,chl_a_estimada,pixeles_validos,alta_cianobacteria,id_bloque
amatitlan,2025-01-28,1598,754,754500.0,1598500.0,0.13997382,0.14197327,0.15177308,0.21701181,0.069207974,0.24159035,-0.2328805,0.05090909090909091,0.48727272727272725,0.4618181818181818,5.473847,1100,0,amatitlan_1598_754
amatitlan,2025-01-28,1598,755,755500.0,1598500.0,0.112727635,0.11208804,0.12603465,0.20398465,0.08208008,0.30832508,-0.29494107,0.0148,0.6932,0.292,5.473614,2500,0,amatitlan_1598_755
amatitlan,2025-01-28,1598,756,756500.0,1598500.0,0.07936308,0.07070516,0.09512824,0.20618314,0.17034845,0.48994654,-0.43607056,0.0,0.9584,0.0416,8.408199,2500,0,amatitlan_1598_756
amatitlan,2025-01-28,1598,757,757500.0,1598500.0,0.07513144,0.05563716,0.08470012,0.24541345,0.22781926,0.63093734,-0.527325,0.0,0.9816,0.0184,11.282635,2500,0,amatitlan_1598_757
amatitlan,2025-01-28,1598,758,758500.0,1598500.0,0.08375796,0.074079245,0.10021668,0.22548923,0.1760153,0.5071539,-0.4521713,0.0004,0.9564,0.0432,9.129888,2500,0,amatitlan_1598_758
amatitlan,2025-01-28,1598,759,759500.0,1598500.0,0.07819852,0.06390816,0.092021756,0.2354212,0.20041086,0.57600975,-0.4968519,0.0,0.986,0.014,9.579918,2500,0,amatitlan_1598_759
amatitlan,2025-01-28,1598,760,760500.0,1598500.0,0.080833755,0.06743952,0.09714208,0.24733312,0.20020865,0.56242126,-0.49323276,0.0004,0.9576,0.042,9.780697,2500,0,amatitlan_1598_760
amatitlan,2025-01-28,1598,761,761500.0,1598500.0,0.09260532,0.09506092,0.117554516,0.19532456,0.115707554,0.34721264,-0.3528796,0.0004,0.8864,0.1132,5.8838553,2500,0,amatitlan_1598_761
amatitlan,2025-01-28,1598,762,762500.0,1598500.0,0.07833296,0.0660344,0.08262492,0.15314089,0.10554143,0.25476608,-0.1515198,0.294,0.646,0.06,6.815514,2500,0,amatitlan_1598_762
amatitlan,2025-01-28,1598,763,763500.0,1598500.0,0.062044922,0.038598,0.04138836,0.04560756,0.017283283,-0.13293688,0.35556367,0.8832,0.11,0.0068,4.550268,2500,0,amatitlan_1598_763
amatitlan,2025-01-28,1598,764,764500.0,1598500.0,0.07752768,0.06004964,0.07428304,0.1306278,0.09169661,0.11772278,0.034883864,0.498,0.4484,0.0536,6.057878,2500,0,amatitlan_1598_764
amatitlan,2025-01-28,1598,765,765500.0,1598500.0,0.06702324,0.04643804,0.05650152,0.0955692,0.08425872,0.0427404,0.1480324,0.6212,0.3196,0.0592,6.2057714,2500,0,amatitlan_1598_765
amatitlan,2025-01-28,1598,766,766500.0,1598500.0,0.07596884,0.059825316,0.08075876,0.19131152,0.16130063,0.43542212,-0.3166818,0.15,0.7524,0.0976,8.549365,2500,0,amatitlan_1598_766
amatitlan,2025-01-28,1598,767,767500.0,1598500.0,0.060891557,0.039376277,0.0651086,0.228417,0.2468583,0.6837568,-0.54732233,0.0028,0.9952,0.002,12.892689,2500,1,amatitlan_1598_767
amatitlan,2025-01-28,1598,768,768500.0,1598500.0,0.061466,0.039490666,0.065561555,0.20627555,0.25134045,0.6685276,-0.524519,0.0,1.0,0.0,12.965064,450,1,amatitlan_1598_768
amatitlan,2025-01-28,1599,754,754500.0,1599500.0,0.15650646,0.16030253,0.16521764,0.20432273,0.041657783,0.1401943,-0.14039555,0.17181818181818181,0.29454545454545455,0.5336363636363637,4.86365,1100,0,amatitlan_1599_754
amatitlan,2025-01-28,1599,755,755500.0,1599500.0,0.107524686,0.10566312,0.12678625,0.21510239,0.116617896,0.36069834,-0.34511593,0.0224,0.8572,0.1204,6.2695866,2500,0,amatitlan_1599_755
amatitlan,2025-01-28,1599,756,756500.0,1599500.0,0.09453632,0.093127444,0.11059264,0.19105153,0.10912993,0.35877597,-0.34275195,0.0048,0.818,0.1772,6.1470337,2500,0,amatitlan_1599_756
amatitlan,2025-01-28,1599,757,757500.0,1599500.0,0.0675458,0.046554558,0.073330715,0.21548088,0.23540324,0.64214045,-0.515399,0.0,0.9912,0.0088,11.397664,2500,0,amatitlan_1599_757
amatitlan,2025-01-28,1599,758,758500.0,1599500.0,0.07900969,0.06267403,0.088944495,0.2401529,0.20335521,0.5904656,-0.5021334,0.0008003201280512205,0.9503801520608244,0.04881952781112445,10.455025,2499,0,amatitlan_1599_758
amatitlan,2025-01-28,1599,759,759500.0,1599500.0,0.08229464,0.07614492,0.099473484,0.21620545,0.14467847,0.47962642,-0.44291484,0.0,0.9924,0.0076,6.81491,2500,0,amatitlan_1599_759
amatitlan,2025-01-28,1599,760,760500.0,1599500.0,0.07849076,0.06947224,0.09275496,0.19871508,0.1599448,0.48011556,-0.42463955,0.0,0.9588,0.0412,7.5716834,2500,0,amatitlan_1599_760
amatitlan,2025-01-28,1599,761,761500.0,1599500.0,0.07714192,0.069089,0.085050315,0.1491918,0.10903551,0.25014928,-0.17128818,0.2552,0.6672,0.0776,6.381892,2500,0,amatitlan_1599_761
amatitlan,2025-01-28,1599,762,762500.0,1599500.0,0.07569136,0.05995888,0.07429784,0.13599859,0.10726904,0.17947029,-0.04177503,0.4508,0.4904,0.0588,7.2753,2500,0,amatitlan_1599_762
amatitlan,2025-01-28,1599,763,763500.0,1599500.0,0.10126948,0.09741308,0.11525852,0.19593848,0.097611226,0.30558077,-0.27207154,0.0772,0.6712,0.2516,6.0650463,2500,0,amatitlan_1599_763
